AGPT CUDA Trainer V2
  mode: train-growth
  model: d=64 heads=4 layers=2 ff=256 vocab=65 seq=16 head_dim=16
  seq_len reconcile: model header says 128, growth max_depth=16 -> effective 16. Overriding.
  corpus: rnd/cudax-section2-progressive/20260526T231511-section2-256x6/train_corpus.txt tokens=1059624 full_starts=1059623
  growth: stages=256 epochs_per_stage=6 min_epochs=6 epoch_schedule=fixed scheduled_epochs=1536 optimizer=rmsprop schedule=warmup-cosine materializer=incremental-radix estimated_total_unit_steps=99840
  growth-frontiers: source=generated-divisions divisions=256 train_frac=1.000000 final_frontier=1059623
  config: lr=0.003000 warmup_epochs=0 partition_depth=1 chunk_queries=50000 anc_grad=true
  rope-position: mode=depth
  growth-stage 1/256: frontier_starts=4140 ingested_starts=4140 radix_nodes=5930 edge_chars=50327 counts=9967 flat_counts=21705
  train-growth-stage: epochs=6 units=52 optimizer=rmsprop radix_nodes=5930 edge_chars=50327
    stage-epoch 1/6
      unit 1/52 rc=17 chunks=1 trained_queries=1393 trained_events=2320 mean_loss=4.461515 lr=0.003 step=stateful RMSProp step applied
      unit 2/52 rc=6 chunks=1 trained_queries=7222 trained_events=9920 mean_loss=4.464281 lr=0.003 step=stateful RMSProp step applied
      unit 3/52 rc=588 chunks=1 trained_queries=84 trained_events=96 mean_loss=6.987881 lr=0.003 step=stateful RMSProp step applied
      unit 4/52 rc=378 chunks=1 trained_queries=256 trained_events=304 mean_loss=6.237905 lr=0.003 step=stateful RMSProp step applied
      unit 5/52 rc=54 chunks=1 trained_queries=788 trained_events=1008 mean_loss=5.671482 lr=0.003 step=stateful RMSProp step applied
      unit 6/52 rc=2061 chunks=1 trained_queries=31 trained_events=32 mean_loss=4.758052 lr=0.003 step=stateful RMSProp step applied
      unit 7/52 rc=74 chunks=1 trained_queries=217 trained_events=512 mean_loss=5.802451 lr=0.003 step=stateful RMSProp step applied
      unit 8/52 rc=16 chunks=1 trained_queries=584 trained_events=704 mean_loss=5.005671 lr=0.003 step=stateful RMSProp step applied
      unit 9/52 rc=547 chunks=1 trained_queries=167 trained_events=192 mean_loss=3.533276 lr=0.003 step=stateful RMSProp step applied
      unit 10/52 rc=213 chunks=1 trained_queries=125 trained_events=176 mean_loss=3.479769 lr=0.003 step=stateful RMSProp step applied
      unit 11/52 rc=78 chunks=1 trained_queries=152 trained_events=192 mean_loss=3.315392 lr=0.003 step=stateful RMSProp step applied
      unit 12/52 rc=18 chunks=1 trained_queries=31 trained_events=32 mean_loss=3.169154 lr=0.003 step=stateful RMSProp step applied
      unit 13/52 rc=7 chunks=1 trained_queries=225 trained_events=432 mean_loss=3.637537 lr=0.003 step=stateful RMSProp step applied
      unit 14/52 rc=3055 chunks=1 trained_queries=105 trained_events=176 mean_loss=4.849679 lr=0.003 step=stateful RMSProp step applied
      unit 15/52 rc=1 chunks=1 trained_queries=64 trained_events=272 mean_loss=3.567370 lr=0.003 step=stateful RMSProp step applied
      unit 16/52 rc=2977 chunks=1 trained_queries=31 trained_events=32 mean_loss=3.161118 lr=0.003 step=stateful RMSProp step applied
      unit 17/52 rc=497 chunks=1 trained_queries=229 trained_events=272 mean_loss=3.295130 lr=0.003 step=stateful RMSProp step applied
      unit 18/52 rc=416 chunks=1 trained_queries=25 trained_events=32 mean_loss=2.938215 lr=0.003 step=stateful RMSProp step applied
      unit 19/52 rc=308 chunks=1 trained_queries=77 trained_events=128 mean_loss=3.545351 lr=0.003 step=stateful RMSProp step applied
      unit 20/52 rc=522 chunks=1 trained_queries=129 trained_events=192 mean_loss=2.961575 lr=0.003 step=stateful RMSProp step applied
      unit 21/52 rc=611 chunks=1 trained_queries=61 trained_events=64 mean_loss=3.277514 lr=0.003 step=stateful RMSProp step applied
      unit 22/52 rc=226 chunks=1 trained_queries=45 trained_events=48 mean_loss=3.103109 lr=0.003 step=stateful RMSProp step applied
      unit 23/52 rc=85 chunks=1 trained_queries=126 trained_events=224 mean_loss=3.217601 lr=0.003 step=stateful RMSProp step applied
      unit 24/52 rc=2669 chunks=1 trained_queries=145 trained_events=176 mean_loss=2.872874 lr=0.003 step=stateful RMSProp step applied
      unit 25/52 rc=3061 chunks=1 trained_queries=62 trained_events=80 mean_loss=2.696728 lr=0.003 step=stateful RMSProp step applied
      unit 26/52 rc=1714 chunks=1 trained_queries=16 trained_events=16 mean_loss=2.961887 lr=0.003 step=stateful RMSProp step applied
      unit 27/52 rc=367 chunks=1 trained_queries=190 trained_events=224 mean_loss=3.131359 lr=0.003 step=stateful RMSProp step applied
      unit 28/52 rc=141 chunks=1 trained_queries=60 trained_events=80 mean_loss=2.848638 lr=0.003 step=stateful RMSProp step applied
      unit 29/52 rc=41 chunks=1 trained_queries=2608 trained_events=3296 mean_loss=3.087128 lr=0.003 step=stateful RMSProp step applied
      unit 30/52 rc=560 chunks=1 trained_queries=452 trained_events=528 mean_loss=2.995368 lr=0.003 step=stateful RMSProp step applied
      unit 31/52 rc=36 chunks=1 trained_queries=955 trained_events=1248 mean_loss=2.888530 lr=0.003 step=stateful RMSProp step applied
      unit 32/52 rc=39 chunks=1 trained_queries=1188 trained_events=1488 mean_loss=2.909885 lr=0.003 step=stateful RMSProp step applied
      unit 33/52 rc=14 chunks=1 trained_queries=4841 trained_events=6208 mean_loss=2.858788 lr=0.003 step=stateful RMSProp step applied
      unit 34/52 rc=21 chunks=1 trained_queries=650 trained_events=800 mean_loss=2.807334 lr=0.003 step=stateful RMSProp step applied
      unit 35/52 rc=541 chunks=1 trained_queries=483 trained_events=592 mean_loss=2.793942 lr=0.003 step=stateful RMSProp step applied
      unit 36/52 rc=51 chunks=1 trained_queries=2117 trained_events=2720 mean_loss=2.756496 lr=0.003 step=stateful RMSProp step applied
      unit 37/52 rc=2 chunks=1 trained_queries=2613 trained_events=3648 mean_loss=2.791147 lr=0.003 step=stateful RMSProp step applied
      unit 38/52 rc=1057 chunks=1 trained_queries=16 trained_events=16 mean_loss=2.681940 lr=0.003 step=stateful RMSProp step applied
      unit 39/52 rc=73 chunks=1 trained_queries=387 trained_events=464 mean_loss=3.071405 lr=0.003 step=stateful RMSProp step applied
